Test Case ID,Module,Submodule,Scenario,Type,Precondition,Input Fields,Test Data (This Case Only),Steps,Expected Result,Priority,Actual Result,Status,Remarks
LOGIN-001,Login & Access,Sign In,Login page opens successfully,Positive,Application URL is available,"email, password, captcha",,Open application URL,Login page is displayed with Email Password Captcha and Sign In button,P0,,Not Executed,
LOGIN-002,Login & Access,Sign In,Required validation for empty form,Negative,User is on login page,"email, password, captcha",,Click Sign In without entering details,Required validation messages are shown and login is blocked,P0,,Not Executed,
LOGIN-003,Login & Access,Sign In,Email field accepts valid format,Positive,User is on login page,"email, password, captcha",,Enter valid email and move cursor out,No validation error is shown for email format,P1,,Not Executed,
LOGIN-004,Login & Access,Sign In,Invalid email format check,Negative,User is on login page,"email, password, captcha",,Enter invalid email like abc and click Sign In,System shows invalid email validation or blocks submit,P0,,Not Executed,
LOGIN-005,Login & Access,Sign In,Password visibility toggle works,Positive,User is on login page,"email, password, captcha",,Enter password then click eye icon,Password is shown and hidden correctly,P2,,Not Executed,
LOGIN-006,Login & Access,Captcha,Captcha refresh generates new captcha,Positive,User is on login page,captcha,,Click captcha refresh icon,Captcha image/text changes,P1,,Not Executed,
LOGIN-007,Login & Access,Sign In,Invalid credentials are rejected,Negative,Test invalid user exists,"email, password, captcha",,Enter wrong email/password then click Sign In,Login fails and user stays on login page,P0,,Not Executed,
LOGIN-008,Login & Access,Sign In,Valid admin login,Positive,Valid admin credentials are available,"email, password, captcha",,Enter valid admin credentials and click Sign In,User is redirected to Admin dashboard,P0,,Not Executed,
LOGIN-009,Login & Access,Session,Protected URL without login,Negative,User is logged out,"login session, role session",,Open protected Admin URL directly,User is redirected to sign in page,P0,,Not Executed,
LOGIN-010,Login & Access,Session,Logout clears active session,Positive,User is logged in,"login session, role session",,Click logout and try browser back,User cannot access protected page without login,P0,,Not Executed,
LOGIN-011,Login & Access,Sign In,Login with blank password,Negative,User is on login page,"email, password, captcha",,Enter only email and click Sign In,Validation shown and login blocked,P0,,Not Executed,
LOGIN-012,Login & Access,Sign In,Login with blank email,Negative,User is on login page,"email, password, captcha",,Enter only password and click Sign In,Validation shown and login blocked,P0,,Not Executed,
NAV-001,Dashboard Navigation,Dashboard,Dashboard opens after login,Positive,User logged in as admin,NA (navigation only),,Login with valid admin account,Dashboard page opens by default,P0,,Not Executed,
NAV-002,Dashboard Navigation,Side Menu,Masters menu expand and collapse,Positive,User on dashboard,NA,,Click Masters then click again,Submenu opens then collapses,P1,,Not Executed,
NAV-003,Dashboard Navigation,Side Menu,Academic menu expand and collapse,Positive,User on dashboard,NA,,Click Academic then click again,Submenu opens then collapses,P1,,Not Executed,
NAV-004,Dashboard Navigation,Side Menu,Open page from Masters submenu,Positive,Masters menu is expanded,NA,,Click any submenu like Class,Correct page opens and menu item is active,P0,,Not Executed,
NAV-005,Dashboard Navigation,Side Menu,Open page from Academic submenu,Positive,Academic menu is expanded,NA,,Click Admission,Admission page opens correctly,P0,,Not Executed,
NAV-006,Dashboard Navigation,Side Menu,Sidebar collapse and expand on desktop,Positive,User on desktop view,NA,,Use sidebar toggle to collapse and expand,Sidebar view updates without layout break,P2,,Not Executed,
NAV-007,Dashboard Navigation,Routing,URL changes with selected submenu,Positive,User navigates through side menu,NA,,Open Class then open Staff,URL and page content match selected menu,P1,,Not Executed,
NAV-008,Dashboard Navigation,Routing,Direct invalid submenu URL,Negative,User logged in,NA,,Enter invalid Admin child URL manually,System does not load wrong page and handles route safely,P1,,Not Executed,
NAV-009,Dashboard Navigation,Mobile Navigation,Mobile bottom nav opens target area,Positive,Mobile viewport is enabled,NA,,Tap Masters or Academics from mobile bottom nav,Related section opens in mobile menu,P2,,Not Executed,
