Test Case ID,Module,Submodule,Scenario,Type,Precondition,Steps,Test Data,Expected Result,Priority,Actual Result,Status,Remarks
LOGIN-001,Login & Access,Sign In,Login page opens successfully,Positive,Application URL is available,Open application URL,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,Login page is displayed with Email Password Captcha and Sign In button,P0,,Not Executed,
LOGIN-002,Login & Access,Sign In,Required validation for empty form,Negative,User is on login page,Click Sign In without entering details,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,Required validation messages are shown and login is blocked,P0,,Not Executed,
LOGIN-003,Login & Access,Sign In,Email field accepts valid format,Positive,User is on login page,Enter valid email and move cursor out,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,No validation error is shown for email format,P1,,Not Executed,
LOGIN-004,Login & Access,Sign In,Invalid email format check,Negative,User is on login page,Enter invalid email like abc and click Sign In,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,System shows invalid email validation or blocks submit,P0,,Not Executed,
LOGIN-005,Login & Access,Sign In,Password visibility toggle works,Positive,User is on login page,Enter password then click eye icon,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,Password is shown and hidden correctly,P2,,Not Executed,
LOGIN-006,Login & Access,Captcha,Captcha refresh generates new captcha,Positive,User is on login page,Click captcha refresh icon,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,Captcha image/text changes,P1,,Not Executed,
LOGIN-007,Login & Access,Sign In,Invalid credentials are rejected,Negative,Test invalid user exists,Enter wrong email/password then click Sign In,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,Login fails and user stays on login page,P0,,Not Executed,
LOGIN-008,Login & Access,Sign In,Valid admin login,Positive,Valid admin credentials are available,Enter valid admin credentials and click Sign In,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,User is redirected to Admin dashboard,P0,,Not Executed,
LOGIN-009,Login & Access,Session,Protected URL without login,Negative,User is logged out,Open protected Admin URL directly,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,User is redirected to sign in page,P0,,Not Executed,
LOGIN-010,Login & Access,Session,Logout clears active session,Positive,User is logged in,Click logout and try browser back,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,User cannot access protected page without login,P0,,Not Executed,
LOGIN-011,Login & Access,Sign In,Login with blank password,Negative,User is on login page,Enter only email and click Sign In,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,Validation shown and login blocked,P0,,Not Executed,
LOGIN-012,Login & Access,Sign In,Login with blank email,Negative,User is on login page,Enter only password and click Sign In,Valid: admin@school.com / Pass@123; Invalid: wrong@school.com / Wrong123,Validation shown and login blocked,P0,,Not Executed,
NAV-001,Dashboard Navigation,Dashboard,Dashboard opens after login,Positive,User logged in as admin,Login with valid admin account,Use valid existing master data; include one invalid/duplicate sample for negative case,Dashboard page opens by default,P0,,Not Executed,
NAV-002,Dashboard Navigation,Side Menu,Masters menu expand and collapse,Positive,User on dashboard,Click Masters then click again,Use valid existing master data; include one invalid/duplicate sample for negative case,Submenu opens then collapses,P1,,Not Executed,
NAV-003,Dashboard Navigation,Side Menu,Academic menu expand and collapse,Positive,User on dashboard,Click Academic then click again,Use valid existing master data; include one invalid/duplicate sample for negative case,Submenu opens then collapses,P1,,Not Executed,
NAV-004,Dashboard Navigation,Side Menu,Open page from Masters submenu,Positive,Masters menu is expanded,Click any submenu like Class,Use valid existing master data; include one invalid/duplicate sample for negative case,Correct page opens and menu item is active,P0,,Not Executed,
NAV-005,Dashboard Navigation,Side Menu,Open page from Academic submenu,Positive,Academic menu is expanded,Click Admission,Use valid existing master data; include one invalid/duplicate sample for negative case,Admission page opens correctly,P0,,Not Executed,
NAV-006,Dashboard Navigation,Side Menu,Sidebar collapse and expand on desktop,Positive,User on desktop view,Use sidebar toggle to collapse and expand,Use valid existing master data; include one invalid/duplicate sample for negative case,Sidebar view updates without layout break,P2,,Not Executed,
NAV-007,Dashboard Navigation,Routing,URL changes with selected submenu,Positive,User navigates through side menu,Open Class then open Staff,Use valid existing master data; include one invalid/duplicate sample for negative case,URL and page content match selected menu,P1,,Not Executed,
NAV-008,Dashboard Navigation,Routing,Direct invalid submenu URL,Negative,User logged in,Enter invalid Admin child URL manually,Use valid existing master data; include one invalid/duplicate sample for negative case,System does not load wrong page and handles route safely,P1,,Not Executed,
NAV-009,Dashboard Navigation,Mobile Navigation,Mobile bottom nav opens target area,Positive,Mobile viewport is enabled,Tap Masters or Academics from mobile bottom nav,Use valid existing master data; include one invalid/duplicate sample for negative case,Related section opens in mobile menu,P2,,Not Executed,
NAV-010,Dashboard Navigation,Mobile Navigation,Mobile menu closes after navigation,Positive,Mobile menu is open,Select any submenu page,Use valid existing master data; include one invalid/duplicate sample for negative case,Selected page opens and menu closes,P2,,Not Executed,
M-SD-001,Masters,School Details,Open School Details page,Positive,Admin user is logged in,Go to Masters > School Details,"School Name: Sunrise School, Email: info@sunrise.edu, Phone: 9876543210",School Details page loads successfully,P0,,Not Executed,
M-SD-002,Masters,School Details,Create school details with valid data,Positive,School Details form is visible,Enter all mandatory fields and save,"School Name: Sunrise School, Email: info@sunrise.edu, Phone: 9876543210",Record is saved successfully,P0,,Not Executed,
M-SD-003,Masters,School Details,Edit school details,Positive,Existing school details present,Update one field and save,"School Name: Sunrise School, Email: info@sunrise.edu, Phone: 9876543210",Updated details are saved and displayed,P0,,Not Executed,
M-SD-004,Masters,School Details,View saved school details,Positive,Record exists,Refresh page and view details,"School Name: Sunrise School, Email: info@sunrise.edu, Phone: 9876543210",Saved data persists and displays correctly,P1,,Not Executed,
M-SD-005,Masters,School Details,Save with missing mandatory fields,Negative,School Details form is visible,Leave required fields empty and save,"School Name: Sunrise School, Email: info@sunrise.edu, Phone: 9876543210",Validation message shown and save blocked,P0,,Not Executed,
M-SD-006,Masters,School Details,Invalid email format in contact details,Negative,School Details form is visible,Enter invalid email and save,"School Name: Sunrise School, Email: info@sunrise.edu, Phone: 9876543210",Validation shown for invalid email,P1,,Not Executed,
M-SD-007,Masters,School Details,Invalid phone number format,Negative,School Details form is visible,Enter invalid phone and save,"School Name: Sunrise School, Email: info@sunrise.edu, Phone: 9876543210",Validation shown for phone format,P1,,Not Executed,
M-SD-008,Masters,School Details,Cancel without saving,Negative,Unsaved changes made,Click cancel or navigate away,"School Name: Sunrise School, Email: info@sunrise.edu, Phone: 9876543210",Unsaved data is not committed,P2,,Not Executed,
M-AY-001,Masters,Academic Year,Open Academic Year page,Positive,Admin user is logged in,Go to Masters > Academic Year,"Valid: AY 2026-27, 01-06-2026 to 31-03-2027; Invalid: end date before start date",Academic Year page loads successfully,P0,,Not Executed,
M-AY-002,Masters,Academic Year,Create academic year with valid dates,Positive,Academic Year form is visible,Enter valid year start and end date and save,"Valid: AY 2026-27, 01-06-2026 to 31-03-2027; Invalid: end date before start date",Academic year is saved,P0,,Not Executed,
M-AY-003,Masters,Academic Year,Edit academic year,Positive,Academic year exists,Modify year name or dates and save,"Valid: AY 2026-27, 01-06-2026 to 31-03-2027; Invalid: end date before start date",Changes are updated successfully,P0,,Not Executed,
M-AY-004,Masters,Academic Year,View academic year list,Positive,Records exist,Open list and verify new record,"Valid: AY 2026-27, 01-06-2026 to 31-03-2027; Invalid: end date before start date",Record appears in list,P1,,Not Executed,
M-AY-005,Masters,Academic Year,End date earlier than start date,Negative,Academic Year form is visible,Enter end date before start date and save,"Valid: AY 2026-27, 01-06-2026 to 31-03-2027; Invalid: end date before start date",Validation shown and save blocked,P0,,Not Executed,
